timestamp;hash_rate;btc_market_price_usd;transaction_fees_btc;mempool_size;transaction_fees_usd;avg_fee_per_tx_btc;avg_fee_per_tx_usd
2024-08-20 15:00:00;639663653.417969;59193.803750;9.037040;108765607.250000;535094.180391;0.000000;0.000000
2024-08-20 18:00:00;638044251.763747;59137.382500;8.851066;107820461.125000;523554.805425;0.000000;0.000000
2024-08-20 21:00:00;636424850.109524;59080.961250;8.665092;106875315.000000;512015.430459;0.000000;0.000000
2024-08-21 00:00:00;634805448.455301;59024.540000;8.479118;107501767.250000;500476.055492;0.000000;0.000000
2024-08-21 03:00:00;641822855.623600;59292.776250;19.952347;108128219.500000;1204572.808064;0.000000;0.000000
2024-08-21 06:00:00;648840262.791898;59561.012500;31.425576;108754671.750000;1908669.560636;0.000000;0.000000
2024-08-21 09:00:00;655857669.960197;59829.248750;42.898805;109381124.000000;2612766.313208;0.000000;0.000000
2024-08-21 12:00:00;662875077.128495;60097.485000;54.372034;109293691.000000;3316863.065780;0.000000;0.000000
2024-08-21 15:00:00;669892484.296793;60365.721250;65.845263;109206258.000000;4020959.818351;0.000000;0.000000
2024-08-21 18:00:00;676909891.465092;60633.957500;77.318492;109118825.000000;4725056.570923;0.000000;0.000000
2024-08-21 21:00:00;683927298.633390;60902.193750;88.791721;109031392.000000;5429153.323495;0.000000;0.000000
2024-08-22 00:00:00;690944705.801689;61170.430000;100.264950;110568826.375000;6133250.076067;0.000000;0.000000
2024-08-22 03:00:00;693103908.007319;61071.877500;88.958930;112106260.750000;5440688.526535;0.000000;0.000000
2024-08-22 06:00:00;695263110.212949;60973.325000;77.652910;113643695.125000;4748126.977002;0.000000;0.000000
2024-08-22 09:00:00;697422312.418579;60874.772500;66.346891;115181129.500000;4055565.427470;0.000000;0.000000
2024-08-22 12:00:00;699581514.624210;60776.220000;55.040871;110893489.625000;3363003.877938;0.000000;0.000000
2024-08-22 15:00:00;701740716.829840;60677.667500;43.734852;106605849.750000;2670442.328406;0.000000;0.000000
2024-08-22 18:00:00;703899919.035470;60579.115000;32.428832;102318209.875000;1977880.778874;0.000000;0.000000
2024-08-22 21:00:00;706059121.241100;60480.562500;21.122812;98030570.000000;1285319.229342;0.000000;0.000000
2024-08-23 00:00:00;708218323.446731;60382.010000;9.816793;98635933.125000;592757.679810;0.000000;0.000000
2024-08-23 03:00:00;702280517.381248;60844.515000;9.527764;99241296.250000;578776.460211;0.000000;0.000000
2024-08-23 06:00:00;696342711.315764;61307.020000;9.238736;99846659.375000;564795.240611;0.000000;0.000000
2024-08-23 09:00:00;690404905.250281;61769.525000;8.949707;100452022.500000;550814.021012;0.000000;0.000000
2024-08-23 12:00:00;684467099.184798;62232.030000;8.660679;100821213.625000;536832.801413;0.000000;0.000000
2024-08-23 15:00:00;678529293.119314;62694.535000;8.371651;101190404.750000;522851.581813;0.000000;0.000000
2024-08-23 18:00:00;672591487.053831;63157.040000;8.082622;101559595.875000;508870.362214;0.000000;0.000000
2024-08-23 21:00:00;666653680.988348;63619.545000;7.793594;101928787.000000;494889.142615;0.000000;0.000000
2024-08-24 00:00:00;660715874.922865;64082.050000;7.504565;100352196.500000;480907.923015;0.000000;0.000000
2024-08-24 03:00:00;649919863.894713;64093.617500;7.445135;98775606.000000;477180.792631;0.000000;0.000000
2024-08-24 06:00:00;639123852.866562;64105.185000;7.385704;97199015.500000;473453.662247;0.000000;0.000000
2024-08-24 09:00:00;628327841.838410;64116.752500;7.326273;95622425.000000;469726.531863;0.000000;0.000000
2024-08-24 12:00:00;617531830.810259;64128.320000;7.266842;93218942.833333;465999.401479;0.000000;0.000000
2024-08-24 15:00:00;606735819.782108;64139.887500;7.207412;90815460.666667;462272.271095;0.000000;0.000000
2024-08-24 18:00:00;595939808.753956;64151.455000;7.147981;88411978.500000;458545.140711;0.000000;0.000000
2024-08-24 21:00:00;585143797.725805;64163.022500;7.088550;87376723.750000;454818.010327;0.000000;0.000000
2024-08-25 00:00:00;574347786.697654;64174.590000;7.029120;86341469.000000;451090.879942;0.000000;0.000000
2024-08-25 03:00:00;574887587.249061;64193.748750;7.212846;85306214.250000;463044.241858;0.000000;0.000000
2024-08-25 06:00:00;575427387.800469;64212.907500;7.396572;84270959.500000;474997.603774;0.000000;0.000000
2024-08-25 09:00:00;575967188.351876;64232.066250;7.580297;80089404.500000;486950.965690;0.000000;0.000000
2024-08-25 12:00:00;576506988.903284;64251.225000;7.764023;75907849.500000;498904.327606;0.000000;0.000000
2024-08-25 15:00:00;577046789.454691;64270.383750;7.947749;71726294.500000;510857.689522;0.000000;0.000000
2024-08-25 18:00:00;577586590.006099;64289.542500;8.131475;67544739.500000;522811.051438;0.000000;0.000000
2024-08-25 21:00:00;578126390.557507;64308.701250;8.315201;68651747.875000;534764.413354;0.000000;0.000000
2024-08-26 00:00:00;578666191.108914;64327.860000;8.498927;69758756.250000;546717.775270;0.000000;0.000000
2024-08-26 03:00:00;582984595.520175;64144.100000;8.410188;70865764.625000;539578.117659;0.000000;0.000000
2024-08-26 06:00:00;587302999.931435;63960.340000;8.321450;71972773.000000;532438.460047;0.000000;0.000000
2024-08-26 09:00:00;591621404.342696;63776.580000;8.232712;72950126.250000;525298.802435;0.000000;0.000000
2024-08-26 12:00:00;595939808.753956;63592.820000;8.143973;73927479.500000;518159.144823;0.000000;0.000000
2024-08-26 15:00:00;600258213.165217;63409.060000;8.055235;74904832.750000;511019.487211;0.000000;0.000000
2024-08-26 18:00:00;604576617.576478;63225.300000;7.966497;75882186.000000;503879.829599;0.000000;0.000000
2024-08-26 21:00:00;608895021.987738;63041.540000;7.877758;74321222.125000;496740.171988;0.000000;0.000000
2024-08-27 00:00:00;613213426.398999;62857.780000;7.789020;72760258.250000;489600.514376;0.000000;0.000000
2024-08-27 03:00:00;624536000.270112;62433.910000;7.779522;71199294.375000;485734.150794;0.000000;0.000000
2024-08-27 06:00:00;635858574.141226;62010.040000;7.770024;69638330.500000;481867.787212;0.000000;0.000000
2024-08-27 09:00:00;647181148.012339;61586.170000;7.760525;69466931.750000;478001.423630;0.000000;0.000000
