draw_idx,btc_price,converged,total_miners,active_miners,pct_active,total_hash_rate,pool_hash_rate,pct_solo,pct_pool,pct_offline
24,94343.65849271155,True,500,500,1.0,495896.0,0.0,1.0,0.0,0.0
25,98074.3411139052,True,500,500,1.0,484942.0,0.0,1.0,0.0,0.0
26,96783.66611588403,True,500,500,1.0,472000.0,0.0,1.0,0.0,0.0
27,106974.58572558893,True,500,500,1.0,485026.0,0.0,1.0,0.0,0.0
28,151648.98481816548,True,500,500,1.0,485514.0,0.0,1.0,0.0,0.0
29,192480.4686231819,True,500,500,1.0,463107.0,0.0,1.0,0.0,0.0
30,187072.63737307023,True,500,500,1.0,470173.0,0.0,1.0,0.0,0.0
31,123149.58762508315,True,500,500,1.0,474677.0,0.0,1.0,0.0,0.0
32,135346.52085343117,True,500,500,1.0,467918.0,0.0,1.0,0.0,0.0
33,61106.98959279183,True,500,500,1.0,498918.0,0.0,1.0,0.0,0.0
34,39177.17730616952,True,500,500,1.0,485373.0,0.0,1.0,0.0,0.0
35,143780.56135500426,True,500,500,1.0,477478.0,0.0,1.0,0.0,0.0
36,108903.70732816789,True,500,500,1.0,492597.0,0.0,1.0,0.0,0.0
37,166691.78404971983,True,500,500,1.0,476515.0,0.0,1.0,0.0,0.0
38,144477.83278299915,True,500,500,1.0,468403.0,0.0,1.0,0.0,0.0
39,200300.17197294466,True,500,500,1.0,471585.0,0.0,1.0,0.0,0.0
40,117005.14243252996,True,500,500,1.0,470787.0,0.0,1.0,0.0,0.0
41,259247.6371947361,True,500,500,1.0,472123.0,0.0,1.0,0.0,0.0
42,61971.50509112948,True,500,500,1.0,495539.0,0.0,1.0,0.0,0.0
43,71652.74017656872,True,500,500,1.0,468098.0,0.0,1.0,0.0,0.0
44,73303.56460349799,True,500,500,1.0,501754.0,0.0,1.0,0.0,0.0
45,93869.20259038467,True,500,500,1.0,459726.0,0.0,1.0,0.0,0.0
46,148338.6207201764,True,500,500,1.0,483095.0,0.0,1.0,0.0,0.0
47,47182.50548200545,True,500,500,1.0,511130.0,0.0,1.0,0.0,0.0
48,113879.37387974373,True,500,500,1.0,454156.0,0.0,1.0,0.0,0.0
49,56897.75907795131,False,500,499,0.998,476259.0,0.0,0.998,0.0,0.002
50,170990.59988640423,True,500,500,1.0,454623.0,0.0,1.0,0.0,0.0
51,167690.4105496667,True,500,500,1.0,492721.0,0.0,1.0,0.0,0.0
52,83131.361513053,True,500,500,1.0,491671.0,0.0,1.0,0.0,0.0
53,103127.59811559865,True,500,500,1.0,486189.0,0.0,1.0,0.0,0.0
54,81443.43267770017,True,500,500,1.0,467630.0,0.0,1.0,0.0,0.0
55,138931.24312786353,True,500,500,1.0,486876.0,0.0,1.0,0.0,0.0
56,318524.42460651015,True,500,500,1.0,494260.0,0.0,1.0,0.0,0.0
57,120986.1869712503,True,500,500,1.0,474378.0,0.0,1.0,0.0,0.0
58,41828.46587695015,True,500,500,1.0,467177.0,0.0,1.0,0.0,0.0
59,71152.66956251401,True,500,500,1.0,475885.0,0.0,1.0,0.0,0.0
60,81619.69830415082,True,500,500,1.0,476628.0,0.0,1.0,0.0,0.0
61,70878.5952218675,True,500,500,1.0,471700.0,0.0,1.0,0.0,0.0
62,109033.83877468959,True,500,500,1.0,483839.0,0.0,1.0,0.0,0.0
63,86616.80458981576,True,500,500,1.0,475272.0,0.0,1.0,0.0,0.0
64,127059.26042295912,True,500,500,1.0,504037.0,0.0,1.0,0.0,0.0
65,185611.84871949014,True,500,500,1.0,494035.0,0.0,1.0,0.0,0.0
66,91661.43687696967,True,500,500,1.0,501160.0,0.0,1.0,0.0,0.0
67,102523.52061381517,True,500,500,1.0,462510.0,0.0,1.0,0.0,0.0
68,148219.87003734606,True,500,500,1.0,486232.0,0.0,1.0,0.0,0.0
69,129101.0916202703,True,500,500,1.0,489008.0,0.0,1.0,0.0,0.0
70,60223.48250825113,True,500,500,1.0,468204.0,0.0,1.0,0.0,0.0
71,102023.77308654638,True,500,500,1.0,472796.0,0.0,1.0,0.0,0.0
72,108783.56262614981,True,500,500,1.0,487004.0,0.0,1.0,0.0,0.0
73,129226.6786279215,True,500,500,1.0,489795.0,0.0,1.0,0.0,0.0
74,82422.75422311392,True,500,500,1.0,511784.0,0.0,1.0,0.0,0.0
75,115652.24817088149,True,500,500,1.0,456955.0,0.0,1.0,0.0,0.0
76,72593.16573929305,True,500,500,1.0,490321.0,0.0,1.0,0.0,0.0
77,96885.10537671586,True,500,500,1.0,482951.0,0.0,1.0,0.0,0.0
78,76903.69288406865,True,500,500,1.0,447588.0,0.0,1.0,0.0,0.0
79,98775.54587089861,True,500,500,1.0,454340.0,0.0,1.0,0.0,0.0
80,204514.5926695611,True,500,500,1.0,463572.0,0.0,1.0,0.0,0.0
81,143343.83101514066,True,500,500,1.0,456471.0,0.0,1.0,0.0,0.0
82,101903.90333404789,True,500,500,1.0,463136.0,0.0,1.0,0.0,0.0
83,74533.3616830925,True,500,500,1.0,502577.0,0.0,1.0,0.0,0.0
84,85589.51418206685,True,500,500,1.0,470990.0,0.0,1.0,0.0,0.0
85,140167.03120593054,True,500,500,1.0,477337.0,0.0,1.0,0.0,0.0
86,167595.30340488133,True,500,500,1.0,491039.0,0.0,1.0,0.0,0.0
87,229769.1236709238,True,500,500,1.0,493706.0,0.0,1.0,0.0,0.0
88,91361.91927183077,True,500,500,1.0,487230.0,0.0,1.0,0.0,0.0
89,98239.70719865752,True,500,500,1.0,446480.0,0.0,1.0,0.0,0.0
90,141381.66490783097,True,500,500,1.0,470799.0,0.0,1.0,0.0,0.0
91,99900.19386001739,True,500,500,1.0,476212.0,0.0,1.0,0.0,0.0
92,90309.19507227068,True,500,500,1.0,499213.0,0.0,1.0,0.0,0.0
93,152899.93017946114,True,500,500,1.0,487461.0,0.0,1.0,0.0,0.0
94,76839.5882723895,True,500,500,1.0,478457.0,0.0,1.0,0.0,0.0
95,130211.84461364998,True,500,500,1.0,495524.0,0.0,1.0,0.0,0.0
96,83885.20733197393,True,500,500,1.0,473917.0,0.0,1.0,0.0,0.0
97,156485.37308744102,True,500,500,1.0,491947.0,0.0,1.0,0.0,0.0
98,81860.75200306834,True,500,500,1.0,474704.0,0.0,1.0,0.0,0.0
99,77187.16271271258,True,500,500,1.0,476977.0,0.0,1.0,0.0,0.0
100,125038.56611632941,True,500,500,1.0,467198.0,0.0,1.0,0.0,0.0
